screen_name,profile_image_url,location,created_time,text
养生小米粥一碗,"https://tva3.sinaimg.cn/crop.0.0.1328.1328.50/75043d5djw8fb8pl8sg9jj210w10wmzt.jpg?KID=imgbed,tva&Expires=1719401343&ssig=lIqQC3IMb%2F",浙江 台州,Tue Jun 25 23:14:14  2024,班主任承担最多，却被如此对待，让所有老师寒心！
雾堤fogbank,"https://tvax4.sinaimg.cn/crop.0.0.664.664.50/005G53D2ly8g7cm9ikku4j30ig0igjsw.jpg?KID=imgbed,tva&Expires=1719401343&ssig=hUt9VfXJeO",其他,Tue Jun 25 23:13:59  2024,#暑假7.15-7.18培训不合理# 《中华人民共和国教师法》第二章第七条 规定:“教师享有下列权利:(四)按时获取工资报酬，享受国家规定的福利待遇以及寒暑假期的带薪休假。” 因此，教师享有寒暑假期的带薪休假的权利，请勿剥夺教师的休息权！！！！
Wen_nanah,"https://tvax4.sinaimg.cn/crop.0.0.1002.1002.50/007CWYoHly8gthcnlwhb9j30ru0rudkb.jpg?KID=imgbed,tva&Expires=1719401343&ssig=WpfsrchGhc",江苏 扬州,Tue Jun 25 23:11:38  2024,当教师被杂事所围绕的时候，学生的教育就成了最不重要的一环[嘻嘻][嘻嘻]
大胃小风扇,"https://tvax1.sinaimg.cn/crop.0.0.1080.1080.50/005CNDn7ly8hmmxnijdzjj30u00u0gn8.jpg?KID=imgbed,tva&Expires=1719401343&ssig=oTk3%2Bdu5X6",其他,Tue Jun 25 23:10:46  2024,忘记跳楼的年轻班主任了吗？！
余小鱼有大能量呀,"https://tvax2.sinaimg.cn/crop.0.0.1080.1080.50/82c24273ly8gy5e10krdsj20u00u1q8d.jpg?KID=imgbed,tva&Expires=1719401343&ssig=%2B1hkrSqJof",其他,Tue Jun 25 23:06:50  2024,@全国少工委 @人民日报
今日如生看蔷薇,"https://tvax4.sinaimg.cn/crop.0.0.844.844.50/0065jdIely8heq0cp4pufj30ng0ngabm.jpg?KID=imgbed,tva&Expires=1719401343&ssig=IMf2V3yfdy",其他,Tue Jun 25 22:59:14  2024,顶顶顶
今日如生看蔷薇,"https://tvax4.sinaimg.cn/crop.0.0.844.844.50/0065jdIely8heq0cp4pufj30ng0ngabm.jpg?KID=imgbed,tva&Expires=1719401343&ssig=IMf2V3yfdy",其他,Tue Jun 25 22:59:08  2024,顶ding
今日如生看蔷薇,"https://tvax4.sinaimg.cn/crop.0.0.844.844.50/0065jdIely8heq0cp4pufj30ng0ngabm.jpg?KID=imgbed,tva&Expires=1719401343&ssig=IMf2V3yfdy",其他,Tue Jun 25 22:59:00  2024,顶
受洛伦兹力的猴子,"https://tvax3.sinaimg.cn/crop.0.0.1080.1080.50/005IsMlBly8gbtnn2zxf1j30u00u0q4r.jpg?KID=imgbed,tva&Expires=1719401343&ssig=nZIihff9A%2F",四川 成都,Tue Jun 25 22:50:35  2024,我们7.8-7.12也要培训
粗心小豹,"https://tvax1.sinaimg.cn/crop.0.0.512.512.50/007aE9swly8hf1hd5gx6nj30e80e8dg6.jpg?KID=imgbed,tva&Expires=1719401345&ssig=2lrhbWZvgx",吉林 长春,Tue Jun 25 22:44:54  2024,@人民日报
你有我跑得快吗k,"https://tvax1.sinaimg.cn/crop.0.0.330.330.50/e789e8bcly8hbjj7icrxuj20960963yr.jpg?KID=imgbed,tva&Expires=1719401345&ssig=uHvGeNrnow",其他,Tue Jun 25 22:43:27  2024,形式主义害死人
烟雨豆蔻,"https://tvax2.sinaimg.cn/crop.0.0.844.844.50/0085Z9LQly8hgg5jvz6jgj30ng0ngtbl.jpg?KID=imgbed,tva&Expires=1719401345&ssig=HwRCWt9pII",其他,Tue Jun 25 22:39:18  2024,#暑假7.15-7.18培训不合理# 《中华人民共和国教师法》第二章第七条 规定:“教师享有下列权利:(四)按时获取工资报酬，享受国家规定的福利待遇以及寒暑假期的带薪休假。” 因此，教师享有寒暑假期的带薪休假的权利，请勿剥夺教师的休息权！！！！
是你的可乐吖2019,"https://tvax3.sinaimg.cn/crop.0.0.512.512.50/005Pyb80ly8g6tpa4aqcsj30e80e8mxu.jpg?KID=imgbed,tva&Expires=1719401345&ssig=mj5FM9n4cI",江苏,Tue Jun 25 22:38:29  2024,我眼睁眼看着这个赞越点越少 高层有间谍啊！
1evaporate,"https://tvax1.sinaimg.cn/crop.0.0.960.960.50/00693Uz4ly8gt9e9vn7d5j60qo0qomxt02.jpg?KID=imgbed,tva&Expires=1719401345&ssig=gDWMz5z2m0",其他,Tue Jun 25 22:35:23  2024,每次寒暑假都要各种培训
每一天开心爱,"https://tva4.sinaimg.cn/crop.0.0.996.996.50/e947525bjw8f46ayq04mej20ro0rpjy1.jpg?KID=imgbed,tva&Expires=1719401345&ssig=UA6u0vzcX5",其他,Tue Jun 25 22:26:05  2024,专家线上，我们线下？还是暑假？我好几百公里的来回
momo159264837,"https://tvax2.sinaimg.cn/crop.0.0.1080.1080.50/008uQ1vUly8hk8oa404mdj30u00u0q3u.jpg?KID=imgbed,tva&Expires=1719401345&ssig=Y%2FY66k3NAq",其他,Tue Jun 25 22:26:02  2024,顶
